ds,Category,Region,Data_Type,Actual_Sales,Forecast_Sales,Forecast_Lower,Forecast_Upper,Year,Month,Month_Name,Quarter,Day_of_Week
2014-01-03,Office Supplies,Central,Historical,16.448,0.0,0.0,7884.62436750768,2014,1,January,1,Friday
2014-01-04,Office Supplies,Central,Historical,864.1800000000001,0.0,0.0,8823.736303469173,2014,1,January,1,Saturday
2014-01-07,Office Supplies,Central,Historical,87.15799999999999,0.0,0.0,7431.8626364168185,2014,1,January,1,Tuesday
2014-01-09,Office Supplies,Central,Historical,40.544,0.0,0.0,9473.387365562758,2014,1,January,1,Thursday
2014-01-20,Office Supplies,Central,Historical,16043.22,11115.496369340479,556.0671934848851,20838.102621985523,2014,1,January,1,Monday
2014-01-23,Office Supplies,Central,Historical,46.019999999999996,1825.8999556021972,0.0,13822.754290039677,2014,1,January,1,Thursday
2014-01-26,Office Supplies,Central,Historical,1097.25,4090.6791096072875,0.0,15419.571899026114,2014,1,January,1,Sunday
2014-01-30,Office Supplies,Central,Historical,481.0,2402.8208885474314,0.0,14382.306253153887,2014,1,January,1,Thursday
2014-02-06,Office Supplies,Central,Historical,330.512,769.7925680644457,0.0,11512.56104871789,2014,2,February,1,Thursday
2014-02-11,Office Supplies,Central,Historical,8173.6,186.27267290910913,0.0,10827.13866023977,2014,2,February,1,Tuesday
2014-02-14,Office Supplies,Central,Historical,576.726,431.51321718532654,0.0,10424.458092270515,2014,2,February,1,Friday
2014-02-16,Office Supplies,Central,Historical,18.08,250.98987890708395,0.0,11379.767953613336,2014,2,February,1,Sunday
2014-02-17,Office Supplies,Central,Historical,54.208,5865.177449125519,0.0,16329.924426595528,2014,2,February,1,Monday
2014-02-18,Office Supplies,Central,Historical,37.784,0.0,0.0,9355.907388644184,2014,2,February,1,Tuesday
2014-02-21,Office Supplies,Central,Historical,8.85,238.82296776586736,0.0,10891.668785459518,2014,2,February,1,Friday
2014-02-23,Office Supplies,Central,Historical,22.728,1308.1610537794368,0.0,12201.005169293237,2014,2,February,1,Sunday
2014-03-01,Office Supplies,Central,Historical,8812.604,3998.039988290409,0.0,15427.838566309578,2014,3,March,1,Saturday
2014-03-03,Office Supplies,Central,Historical,1345.8919999999998,2804.9597655546963,0.0,13326.087125015083,2014,3,March,1,Monday
2014-03-10,Office Supplies,Central,Historical,741.956,4326.441489584818,0.0,14804.858617600623,2014,3,March,1,Monday
2014-03-14,Office Supplies,Central,Historical,2108.55,3814.4604342440393,0.0,14103.711571093349,2014,3,March,1,Friday
2014-03-17,Office Supplies,Central,Historical,31682.864,8383.865223994362,0.0,18880.91711674897,2014,3,March,1,Monday
2014-03-22,Office Supplies,Central,Historical,464.09299999999996,3853.065928452213,0.0,14917.439752176026,2014,3,March,1,Saturday
2014-03-28,Office Supplies,Central,Historical,1823.8039999999999,6999.301318832222,0.0,17518.888427353653,2014,3,March,1,Friday
2014-03-30,Office Supplies,Central,Historical,2340.6440000000002,6609.489034636915,0.0,17024.365788169634,2014,3,March,1,Sunday
2014-03-31,Office Supplies,Central,Historical,1959.552,6358.926043825846,0.0,17751.846535384866,2014,3,March,1,Monday
2014-04-02,Office Supplies,Central,Historical,2917.116,2285.1078908747577,0.0,13782.199488743317,2014,4,April,2,Wednesday
2014-04-04,Office Supplies,Central,Historical,475.844,6120.490089212503,0.0,17050.544970550574,2014,4,April,2,Friday
2014-04-05,Office Supplies,Central,Historical,31770.588000000003,8276.660697085146,0.0,19079.81101096111,2014,4,April,2,Saturday
2014-04-12,Office Supplies,Central,Historical,1912.123,3915.2391768062685,0.0,14490.77817824141,2014,4,April,2,Saturday
2014-04-18,Office Supplies,Central,Historical,2041.064,7102.376146271603,0.0,18066.4153063662,2014,4,April,2,Friday
2014-04-20,Office Supplies,Central,Historical,1250.45,7311.393799086269,0.0,18055.76446833551,2014,4,April,2,Sunday
2014-04-25,Office Supplies,Central,Historical,4759.987999999999,6701.462760823533,0.0,17315.12475871565,2014,4,April,2,Friday
2014-05-03,Office Supplies,Central,Historical,72.632,6465.2220237450265,0.0,17333.61184954696,2014,5,May,2,Saturday
2014-05-04,Office Supplies,Central,Historical,562.296,6827.140505196228,0.0,17783.11344384974,2014,5,May,2,Sunday
2014-05-05,Office Supplies,Central,Historical,260.977,1533.4245296293484,0.0,12337.536595696754,2014,5,May,2,Monday
2014-05-11,Office Supplies,Central,Historical,3285.604,3036.0013792038458,0.0,14588.183426266132,2014,5,May,2,Sunday
2014-05-17,Office Supplies,Central,Historical,91.68,3407.7214319425493,0.0,13560.801997177236,2014,5,May,2,Saturday
2014-05-18,Office Supplies,Central,Historical,948.9480000000001,3720.432377337732,0.0,15311.551465303528,2014,5,May,2,Sunday
2014-05-19,Office Supplies,Central,Historical,91.62,3057.2301399473185,0.0,13534.445120105234,2014,5,May,2,Monday
2014-05-20,Office Supplies,Central,Historical,640.2080000000001,863.6861160845456,0.0,12161.105996271039,2014,5,May,2,Tuesday
2014-05-21,Office Supplies,Central,Historical,12792.983999999999,581.845832964028,0.0,11131.343598495698,2014,5,May,2,Wednesday
2014-05-25,Office Supplies,Central,Historical,119.53999999999999,3706.19925829917,0.0,14909.81949240814,2014,5,May,2,Sunday
2014-05-26,Office Supplies,Central,Historical,2651.436,11217.177246355634,0.0,22128.491558354566,2014,5,May,2,Monday
2014-05-27,Office Supplies,Central,Historical,2157.394,3474.5834373528405,0.0,14865.4291648017,2014,5,May,2,Tuesday
2014-06-01,Office Supplies,Central,Historical,31131.119999999995,9738.53598677445,0.0,20704.099822410833,2014,6,June,2,Sunday
2014-06-03,Office Supplies,Central,Historical,2224.008,3986.656589916706,0.0,15199.83077060138,2014,6,June,2,Tuesday
2014-06-06,Office Supplies,Central,Historical,4122.003000000001,8401.676760412392,0.0,18792.478338309607,2014,6,June,2,Friday
2014-06-07,Office Supplies,Central,Historical,281.397,7820.182431554495,0.0,18001.446614488435,2014,6,June,2,Saturday
2014-06-09,Office Supplies,Central,Historical,5463.008,8146.1093470541955,0.0,18155.92867889115,2014,6,June,2,Monday
2014-06-10,Office Supplies,Central,Historical,491.55,5181.548455467922,0.0,16167.18294035008,2014,6,June,2,Tuesday
2014-06-15,Office Supplies,Central,Historical,1885.9479999999999,4219.6327200294945,0.0,15532.665399018317,2014,6,June,2,Sunday
2014-06-17,Office Supplies,Central,Historical,3418.5020000000004,1284.3480973461565,0.0,12178.289255599499,2014,6,June,2,Tuesday
2014-06-20,Office Supplies,Central,Historical,10973.6976,2698.690950050817,0.0,12837.701156591753,2014,6,June,2,Friday
2014-06-22,Office Supplies,Central,Historical,3950.996,2195.4290574796432,0.0,13076.103159491558,2014,6,June,2,Sunday
2014-06-28,Office Supplies,Central,Historical,1645.791,4012.829691280818,0.0,15905.262464553281,2014,6,June,2,Saturday
2014-06-30,Office Supplies,Central,Historical,2218.8720000000003,3847.785428579922,0.0,15524.435375448,2014,6,June,2,Monday
2014-07-05,Office Supplies,Central,Historical,2888.208,5379.209656602428,0.0,16114.081950999062,2014,7,July,3,Saturday
2014-07-09,Office Supplies,Central,Historical,531.042,0.0,0.0,8777.03607846283,2014,7,July,3,Wednesday
2014-07-11,Office Supplies,Central,Historical,2187.206,5150.096326521883,0.0,16131.478554421592,2014,7,July,3,Friday
2014-07-12,Office Supplies,Central,Historical,7840.048,5591.188848739533,0.0,16893.73798357144,2014,7,July,3,Saturday
2014-07-14,Office Supplies,Central,Historical,292.594,4023.365491597406,0.0,15534.88354224472,2014,7,July,3,Monday
2014-07-15,Office Supplies,Central,Historical,9.51,2802.092048512951,0.0,13647.354306154693,2014,7,July,3,Tuesday
2014-07-20,Office Supplies,Central,Historical,2285.786,5064.959122442249,0.0,16227.929788375464,2014,7,July,3,Sunday
2014-07-21,Office Supplies,Central,Historical,5884.446,5041.847157720467,0.0,16022.486902323935,2014,7,July,3,Monday
2014-07-22,Office Supplies,Central,Historical,1348.344,2861.571825928628,0.0,14019.768856288909,2014,7,July,3,Tuesday
2014-07-26,Office Supplies,Central,Historical,25199.969999999998,8309.506329867374,0.0,18808.55255873433,2014,7,July,3,Saturday
2014-08-02,Office Supplies,Central,Historical,1772.56,3864.9073734712024,0.0,14484.99293529443,2014,8,August,3,Saturday
2014-08-08,Office Supplies,Central,Historical,7911.258,6781.373870673196,0.0,17318.563922061454,2014,8,August,3,Friday
2014-08-15,Office Supplies,Central,Historical,842.7819999999999,6910.035171254223,0.0,17401.597469609027,2014,8,August,3,Friday
2014-08-17,Office Supplies,Central,Historical,500.342,8598.390541591934,0.0,19282.954530635092,2014,8,August,3,Sunday
2014-08-22,Office Supplies,Central,Historical,23.104,7598.412573599341,0.0,18096.259849509875,2014,8,August,3,Friday
2014-08-23,Office Supplies,Central,Historical,565.224,9500.074206348982,0.0,19580.689311819115,2014,8,August,3,Saturday
2014-08-25,Office Supplies,Central,Historical,2903.2999999999997,6739.287970102268,0.0,17114.66559242198,2014,8,August,3,Monday
2014-09-01,Office Supplies,Central,Historical,938.872,12768.843972771525,2144.3231375576834,23430.266321280265,2014,9,September,3,Monday
2014-09-03,Office Supplies,Central,Historical,22.08,0.0,0.0,8800.55336955392,2014,9,September,3,Wednesday
2014-09-07,Office Supplies,Central,Historical,31714.875,9762.472143670735,0.0,20492.04432029168,2014,9,September,3,Sunday
2014-09-08,Office Supplies,Central,Historical,99598.996,19855.370944688675,9196.844537279852,31117.272367440004,2014,9,September,3,Monday
2014-09-09,Office Supplies,Central,Historical,8087.1759999999995,10130.947483793618,0.0,20733.328705120242,2014,9,September,3,Tuesday
2014-09-12,Office Supplies,Central,Historical,14713.98,24406.35437120578,13676.499312840839,35514.7852077105,2014,9,September,3,Friday
2014-09-14,Office Supplies,Central,Historical,25118.58,27027.89188726642,16341.893088427212,38427.434228520964,2014,9,September,3,Sunday
2014-09-21,Office Supplies,Central,Historical,8038.956,23666.459037712688,12809.460785910873,34575.33469319388,2014,9,September,3,Sunday
2014-09-22,Office Supplies,Central,Historical,1240.266,25568.979526509174,15025.346679044093,36466.60981988557,2014,9,September,3,Monday
2014-09-23,Office Supplies,Central,Historical,42649.348000000005,26464.522217363832,15673.566319435122,38326.570498447516,2014,9,September,3,Tuesday
2014-09-25,Office Supplies,Central,Historical,1064.6664,9513.481213122093,0.0,19970.903879908612,2014,9,September,3,Thursday
2014-09-26,Office Supplies,Central,Historical,1480.614,12139.613551722494,1443.2896420121024,22932.58481705429,2014,9,September,3,Friday
2014-10-03,Office Supplies,Central,Historical,3450.732,10423.6235722851,40.12954915172031,20482.990277931363,2014,10,October,4,Friday
2014-10-06,Office Supplies,Central,Historical,989.42,7829.27937346788,0.0,18070.08954073043,2014,10,October,4,Monday
2014-10-07,Office Supplies,Central,Historical,237.35999999999999,5343.314921058769,0.0,16962.371299569004,2014,10,October,4,Tuesday
2014-10-10,Office Supplies,Central,Historical,4098.772,7667.147638399208,0.0,19046.52129240403,2014,10,October,4,Friday
2014-10-12,Office Supplies,Central,Historical,58.53,2673.205471250199,0.0,13927.711777357408,2014,10,October,4,Sunday
2014-10-14,Office Supplies,Central,Historical,18101.936,4222.504594394322,0.0,15485.130301428726,2014,10,October,4,Tuesday
2014-10-17,Office Supplies,Central,Historical,136.068,3800.113812951783,0.0,14332.33271127674,2014,10,October,4,Friday
2014-10-20,Office Supplies,Central,Historical,7505.52,7950.946525858071,0.0,19007.86030127683,2014,10,October,4,Monday
2014-10-29,Office Supplies,Central,Historical,2813.8120000000004,3484.4662265865636,0.0,14486.797389600284,2014,10,October,4,Wednesday
2014-11-01,Office Supplies,Central,Historical,4732.08,10156.327469207157,0.0,21015.362420569152,2014,11,November,4,Saturday
2014-11-07,Office Supplies,Central,Historical,11593.136,7539.97784816952,0.0,18003.30045631669,2014,11,November,4,Friday
2014-11-10,Office Supplies,Central,Historical,10012.78,9798.517246328782,0.0,21135.928541206704,2014,11,November,4,Monday
2014-11-11,Office Supplies,Central,Historical,48687.288,18675.656414920668,7838.251005958587,30386.847856000975,2014,11,November,4,Tuesday
2014-11-12,Office Supplies,Central,Historical,4219.0448,5316.731310242722,0.0,16362.746190014721,2014,11,November,4,Wednesday
2014-11-14,Office Supplies,Central,Historical,3104.19,14655.488858127374,3662.361389270955,25368.29095394601,2014,11,November,4,Friday
2014-11-15,Office Supplies,Central,Historical,1780.822,15214.984476948579,3656.253579052547,26656.459394285645,2014,11,November,4,Saturday
2014-11-16,Office Supplies,Central,Historical,5423.714,15135.941787719561,4162.616166258358,26363.156746197797,2014,11,November,4,Sunday
2014-11-17,Office Supplies,Central,Historical,11544.274,14442.738725174026,3166.4546116502015,24384.04996751384,2014,11,November,4,Monday
2014-11-18,Office Supplies,Central,Historical,13627.42,12518.250649071866,3137.5547273327525,24253.738533229407,2014,11,November,4,Tuesday
2014-11-19,Office Supplies,Central,Historical,7226.086,4472.985472145971,0.0,15379.222102712503,2014,11,November,4,Wednesday
2014-11-21,Office Supplies,Central,Historical,1249.622,4924.654790571603,0.0,15217.134082869807,2014,11,November,4,Friday
2014-11-22,Office Supplies,Central,Historical,2206.596,111.99504625048303,0.0,11148.872578883864,2014,11,November,4,Saturday
2014-11-23,Office Supplies,Central,Historical,4089.84,7310.166824607778,0.0,18037.732648242498,2014,11,November,4,Sunday
2014-11-24,Office Supplies,Central,Historical,27893.03,9803.484163849158,0.0,21401.007489305346,2014,11,November,4,Monday
2014-11-25,Office Supplies,Central,Historical,13247.085,4320.098731355518,0.0,15745.779425693572,2014,11,November,4,Tuesday
2014-11-28,Office Supplies,Central,Historical,2280.83,7351.890166639192,0.0,18141.29455604672,2014,11,November,4,Friday
2014-11-29,Office Supplies,Central,Historical,649.044,9086.33942556195,0.0,20370.478391512042,2014,11,November,4,Saturday
2014-12-01,Office Supplies,Central,Historical,5624.39,6199.856385726947,0.0,17393.59252233363,2014,12,December,4,Monday
2014-12-02,Office Supplies,Central,Historical,3543.616,7437.930830232139,0.0,17459.14076907275,2014,12,December,4,Tuesday
2014-12-03,Office Supplies,Central,Historical,505.88,4478.1353384762415,0.0,16463.17824164361,2014,12,December,4,Wednesday
2014-12-05,Office Supplies,Central,Historical,2963.642,5846.212574593183,0.0,17282.33782616006,2014,12,December,4,Friday
2014-12-06,Office Supplies,Central,Historical,5912.934,5140.72452937312,0.0,16930.153857279183,2014,12,December,4,Saturday
2014-12-08,Office Supplies,Central,Historical,1095.12,4047.8806850092774,0.0,14204.218551785789,2014,12,December,4,Monday
2014-12-09,Office Supplies,Central,Historical,6090.608,3442.955634521807,0.0,14187.473757007687,2014,12,December,4,Tuesday
2014-12-12,Office Supplies,Central,Historical,4938.4045,4338.125796761403,0.0,15010.26356526852,2014,12,December,4,Friday
2014-12-13,Office Supplies,Central,Historical,293.152,3118.7152291567163,0.0,14568.46688810008,2014,12,December,4,Saturday
2014-12-14,Office Supplies,Central,Historical,22924.974000000002,8193.41396519392,0.0,19681.20911133945,2014,12,December,4,Sunday
2014-12-16,Office Supplies,Central,Historical,8788.374,3469.919279260874,0.0,14644.841125367146,2014,12,December,4,Tuesday
2014-12-19,Office Supplies,Central,Historical,6873.5199999999995,6981.947268196227,0.0,17119.431338022732,2014,12,December,4,Friday
2014-12-20,Office Supplies,Central,Historical,20887.32,10607.112552736635,0.0,21734.414182799974,2014,12,December,4,Saturday
2014-12-22,Office Supplies,Central,Historical,2396.904,7133.85399638257,0.0,17537.101601470767,2014,12,December,4,Monday
2014-12-23,Office Supplies,Central,Historical,1884.216,7457.033001436141,0.0,17846.122020103263,2014,12,December,4,Tuesday
2014-12-26,Office Supplies,Central,Historical,2041.414,5313.133363314865,0.0,15740.775674821627,2014,12,December,4,Friday
2014-12-27,Office Supplies,Central,Historical,5932.776,7754.481052762529,0.0,18407.819997247556,2014,12,December,4,Saturday
2014-12-29,Office Supplies,Central,Historical,2072.096,5692.194253081971,0.0,16493.217488955153,2014,12,December,4,Monday
2014-12-30,Office Supplies,Central,Historical,6517.953000000001,4619.58906756262,0.0,15317.834809784512,2014,12,December,4,Tuesday
2014-12-31,Office Supplies,Central,Historical,10506.539999999999,0.0,0.0,11069.213601401516,2014,12,December,4,Wednesday
2015-01-03,Office Supplies,Central,Historical,3536.4431999999997,753.660921912181,0.0,11088.30410700618,2015,1,January,1,Saturday
2015-01-04,Office Supplies,Central,Historical,528.9200000000001,1183.453966416021,0.0,11380.56536537208,2015,1,January,1,Sunday
2015-01-30,Office Supplies,Central,Historical,2161.6400000000003,4586.652194453822,0.0,15579.652239009876,2015,1,January,1,Friday
2015-01-31,Office Supplies,Central,Historical,198.52,4622.374220169213,0.0,15005.214038970875,2015,1,January,1,Saturday
2015-02-06,Office Supplies,Central,Historical,4865.088,3008.841950941292,0.0,14518.005704652694,2015,2,February,1,Friday
2015-02-08,Office Supplies,Central,Historical,387.27599999999995,1526.5904855837498,0.0,12974.753214932818,2015,2,February,1,Sunday
2015-02-09,Office Supplies,Central,Historical,785.5519999999999,0.0,0.0,8843.764997170454,2015,2,February,1,Monday
2015-02-22,Office Supplies,Central,Historical,79.36,260.0986786085923,0.0,10339.70298689802,2015,2,February,1,Sunday
2015-03-01,Office Supplies,Central,Historical,1642.1743999999999,3709.7123717020295,0.0,14641.996274939,2015,3,March,1,Sunday
2015-03-02,Office Supplies,Central,Historical,1799.1399999999999,3764.8850861256255,0.0,15119.959779596324,2015,3,March,1,Monday
2015-03-05,Office Supplies,Central,Historical,9846.335000000001,4645.8100031983295,0.0,15407.225532290278,2015,3,March,1,Thursday
2015-03-08,Office Supplies,Central,Historical,5126.592000000001,4792.091269561609,0.0,14445.928238380515,2015,3,March,1,Sunday
2015-03-10,Office Supplies,Central,Historical,90.93199999999999,3682.864524750196,0.0,14317.32756702377,2015,3,March,1,Tuesday
2015-03-19,Office Supplies,Central,Historical,5652.9396,4661.934792912816,0.0,16133.635250621357,2015,3,March,1,Thursday
2015-03-20,Office Supplies,Central,Historical,4644.582,4280.155942187466,0.0,15399.719467640878,2015,3,March,1,Friday
2015-03-22,Office Supplies,Central,Historical,4962.848,5536.293115403828,0.0,17039.25901438384,2015,3,March,1,Sunday
2015-03-30,Office Supplies,Central,Historical,571.224,4166.981332249433,0.0,14783.318026156641,2015,3,March,1,Monday
2015-03-31,Office Supplies,Central,Historical,200.716,1949.55800321251,0.0,12431.094903883806,2015,3,March,1,Tuesday
2015-04-02,Office Supplies,Central,Historical,598.44,2761.63318073586,0.0,14241.961593593898,2015,4,April,2,Thursday
2015-04-04,Office Supplies,Central,Historical,4453.794,2338.5731822558027,0.0,12624.334528825075,2015,4,April,2,Saturday
2015-04-06,Office Supplies,Central,Historical,560.016,2111.2879362917956,0.0,12649.236520483577,2015,4,April,2,Monday
2015-04-07,Office Supplies,Central,Historical,907.436,569.1341744098117,0.0,11996.075486129252,2015,4,April,2,Tuesday
2015-04-13,Office Supplies,Central,Historical,3192.6780000000003,1048.8413340542475,0.0,11180.507778101979,2015,4,April,2,Monday
2015-04-18,Office Supplies,Central,Historical,14048.720000000001,4350.271411892506,0.0,14895.484045835658,2015,4,April,2,Saturday
2015-04-19,Office Supplies,Central,Historical,659.92,2641.5858485178446,0.0,14301.253927772621,2015,4,April,2,Sunday
2015-04-20,Office Supplies,Central,Historical,2389.452,4530.380888130048,0.0,14694.21638971142,2015,4,April,2,Monday
2015-04-25,Office Supplies,Central,Historical,2762.838,3620.567259218828,0.0,14630.124474871665,2015,4,April,2,Saturday
2015-04-28,Office Supplies,Central,Historical,20221.809999999998,4392.068779121592,0.0,15642.10916416093,2015,4,April,2,Tuesday
2015-05-02,Office Supplies,Central,Historical,167.232,3638.170450097091,0.0,15035.058396095035,2015,5,May,2,Saturday
2015-05-04,Office Supplies,Central,Historical,1121.362,5379.2733538501,0.0,16361.344545546724,2015,5,May,2,Monday
2015-05-07,Office Supplies,Central,Historical,305.622,3628.9212519843622,0.0,14183.112437981701,2015,5,May,2,Thursday
2015-05-08,Office Supplies,Central,Historical,3981.968,4411.184776553754,0.0,14912.555943203544,2015,5,May,2,Friday
2015-05-10,Office Supplies,Central,Historical,308.884,4263.124352482759,0.0,15425.64089921198,2015,5,May,2,Sunday
2015-05-12,Office Supplies,Central,Historical,1060.35,3163.5175954670835,0.0,13799.296146206467,2015,5,May,2,Tuesday
2015-05-13,Office Supplies,Central,Historical,238.384,0.0,0.0,8213.556865779137,2015,5,May,2,Wednesday
2015-05-17,Office Supplies,Central,Historical,268.93600000000004,2764.577989158136,0.0,13506.47551625355,2015,5,May,2,Sunday
2015-05-21,Office Supplies,Central,Historical,72.332,2384.87886748916,0.0,13275.254781641266,2015,5,May,2,Thursday
